Text,Type
Nachos,2
Chicken Wings,2
Mozzarella Sticks,2
Dumplings,2
Quesadillas,2
Beef Sliders,2
Onion Rings,2
Fried Pickles,2
Egg Rolls,2
Ceviche,2
Bacon Wrapped Dates,2
Prawn Cocktail,2
Garlic Knots,2
Fried Calamari,2
Guacamole and Chips,2
Hummus Platter,2
Cheese Platter,2
Meatballs,2
Clam Chowder,2
Tomato Soup,2
French Onion Soup,2
Gazpacho,2
Salmon Croquettes,2
Baked Camembert,2
Fried Green Tomatoes,2
Pulled Pork Sliders,2
Tofu Bites,2
Samosas,2
Tapenade,2
Pita Bread and Dip,2
Fried Cheese Curds,2
Breaded Mushrooms,2
Taco Dip,2
Stuffed Peppers,2
Prosciutto Wrapped Melon,2
Fried Ravioli,2
Antipasto Platter,2
Greek Salad,3
Spinach and Goat Cheese Salad,3
Waldorf Salad,3
Tuna Salad,3
Caprese Salad,3
Roasted Beet and Arugula Salad,3
Quinoa and Avocado Salad,3
Thai Mango Salad,3
Kale and Cranberry Salad,3
Pear and Blue Cheese Salad,3
Southwest Chicken Salad,3
Tabbouleh,3
Roasted Corn Salad,3
Panzanella,3
Nicoise Salad,3
Asian Noodle Salad,3
Fattoush,3
Taco Salad,3
Pasta Salad,3
Fruit Salad,3
Chicken Salad,3
Potato Salad,3
Egg Salad,3
Bean Salad,3
Broccoli Salad,3
Ambrosia Salad,3
Macaroni Salad,3
Coleslaw,3
Kale Salad,3
Quinoa Salad,3
Roasted Vegetable Salad,3
Shrimp Salad,3
Rice Salad,3
Mediterranean Salad,3
Arugula Salad,3
Beet Salad,3
Brussels Sprouts Salad,3
Cucumber Salad,3
Lentil Salad,3
Panzenella,3
Seaweed Salad,3
Thai Beef Salad,3
Chickpea Salad,3
Caesar Salad with Grilled Chicken,3
Southwest Salad,3
Bibb Lettuce Salad,3
Jicama Salad,3
Cranberry Salad,3
Avocado Salad,3
Israeli Salad,3
Sesame Chicken Salad,3
Mango Salad,3
Panzanella Salad,3
Mixed Greens Salad,3
Tomato Basil Soup,4
Chicken Noodle Soup,4
Minestrone,4
Butternut Squash Soup,4
Broccoli Cheddar Soup,4
Miso Soup,4
Lentil Soup,4
Potato Leek Soup,4
Hot and Sour Soup,4
Cream of Mushroom,4
Pumpkin Soup,4
Beef Barley Soup,4
Tom Yum,4
Chicken Tortilla Soup,4
Pea and Ham Soup,4
Borscht,4
Cream of Asparagus,4
Tortilla Soup,4
Pho,4
Cream of Mushroom Soup,4
Split Pea Soup,4
Corn Chowder,4
Chicken and Rice Soup,4
Italian Wedding Soup,4
Tom Yum Soup,4
Cabbage Soup,4
Mulligatawny,4
Chicken Tortellini Soup,4
Cream of Asparagus Soup,4
Black Bean Soup,4
Egg Drop Soup,4
Gumbo,4
Chicken Dumpling Soup,4
Cream of Chicken Soup,4
Wonton Soup,4
Posole,4
Tom Kha Gai,4
Fish Soup,4
Cream of Celery Soup,4
Sausage and Kale Soup,4
Manhattan Clam Chowder,4
Chicken Curry Soup,4
Cream of Potato Soup,4
Vegetable Beef Soup,4
Ramen,4
Clear Broth Soup,4
Cream of Broccoli Soup,4
Chicken Corn Soup,4
Pasta Fagioli,4
Pepper Soup,4
Grilled Salmon with Lemon Butter Sauce,5
Chicken Alfredo Pasta,5
Beef Wellington,5
Vegetable Stir-Fry,5
Lamb Chops with Mint Sauce,5
Shrimp Scampi,5
BBQ Ribs,5
Eggplant Parmesan,5
Lobster Thermidor,5
Tofu Curry,5
Steak Frites,5
Chicken Tikka Masala,5
Spaghetti Carbonara,5
Duck a l'Orange,5
Fish Tacos,5
Vegetable Lasagna,5
Beef Stroganoff,5
Teriyaki Chicken,5
Mushroom Risotto,5
Pulled Pork Sandwich,5
Lamb Chops,5
Vegetable Stir Fry,5
Seafood Paella,5
Chicken Alfredo,5
Grilled Salmon,5
Pork Tenderloin,5
Duck Confit,5
Vegetable Curry,5
Chicken Marsala,5
Risotto,5
Lobster Roll,5
Braised Short Ribs,5
Veal Piccata,5
Fettuccine Alfredo,5
Pork Chops,5
Grilled Tuna Steak,5
Beef Tacos,5
Chicken Enchiladas,5
Sushi Platter,5
Bibimbap,5
Chicken Caesar Salad,5
Grilled Cheese Sandwich,5
Burgers,5
Vegan Burger,5
Linguine with Clams,5
Chicken Souvlaki,5
Pad Thai,5
Chicken Katsu,5
Chicken and Waffles,5
Tofu Stir Fry,5
Gyro,5
Fish and Chips,5
Pizza Margherita,5
Chocolate Fondue,6
Tiramisu,6
Apple Pie with Vanilla Ice Cream,6
Creme Brulee,6
Raspberry Cheesecake,6
Chocolate Mousse,6
Panna Cotta with Berry Compote,6
Lemon Tart,6
Bread Pudding,6
Eclairs,6
Brownie Sundae,6
Pavlova,6
Key Lime Pie,6
Chocolate Lava Cake,6
Gelato,6
Banoffee Pie,6
Macarons,6
Rice Pudding,6
Strawberry Shortcake,6
Baklava,6
Pecan Pie,6
Mango Sorbet,6
Apple Pie,6
Banana Split,6
Panna Cotta,6
Chocolate Chip Cookies,6
Brownies,6
Ice Cream Sundae,6
Cupcakes,6
Cannoli,6
Profiteroles,6
Carrot Cake,6
Pumpkin Pie,6
Flan,6
Mochi,6
Chocolate Truffles,6
Pound Cake,6
Biscotti,6
Tart Tatin,6
Custard,6
Jelly Roll,6
Pineapple Upside Down Cake,6
Chocolate Cake,6
Vanilla Cake,6
,
Guacamole,2
Queso Fundido,2
Lettuce Wraps,2
Jalapeno Poppers,2
Pigs in a Blanket,2
Spinach Artichoke Dip,2
,
Cream Cheese Fruit Dip,2
,
Hormel Chili Dip,2
Mac and Cheese Bites,2
Velveeta Sausage Dip,2
Totchos,2
Cowboy Crack Dip,2
Pizza Monkey Bread,2
Easy Bacon-Wrapped Shrimp,2
Pizza Rolls,2
Extra Crispy Onion Rings,2
Cheeseburger Sliders,2
Quick & Easy Nachos,2
Southern Hush Puppies,2
Caramelized Onion Dip,2
,
Mini-Bagel Pizzas,2
Soft Pretzel Bites,2
,
Garlic Bread,2
Chips and Salsa,2
Easy Nicoise Salad,3
Vegan Roasted Sweet Potato Salad,3
Baked Salmon with Grapefruit Salad,3
Curried Cauliflower Quinoa Salad,3
Kale Caesar Salad,3
Tropical Kale Salad,3
Classic Cobb Salad with Buttermilk Dressing,3
,
Spring Cobb Salad,3
Grilled Curry Chicken Salad with Herb Vinaigrette,3
Chicken Waldorf Salad,3
Curried Chicken Salad Salad,3
Simple Butter Lettuce Salad,3
Mediterranean Wedge Salad,3
Simple Italian Salad,3
Blackberry Goat Cheese Salad,3
Tomato Salad,3
Grilled Romaine Caesar,3
Watermelon Cucumber Salad,3
Maple Roasted Squash Salad,3
Celery Pear and Hazelnut Salad,3
Shaved Brussels Sprout Salad with Creamy Maple Dressing,3
,
Red Cabbage and Apple Slaw,3
Asian Slaw With Sriracha Dressing,3
Radish Salad with Yogurt Dill Dressing,3
Choice of three,0
